Transect,RandHap,QuadShape,QuadSize,Location,Plantago,Taraxia,NoSpecies
2,Rand,Circle,0.25,26,9,0,9
2,Rand,Circle,0.25,33,3,0,10
2,Rand,Circle,0.25,35,6,0,9
2,Rand,Circle,0.25,41,3,0,7
2,Rand,Circle,0.25,46,8,0,8
2,Rand,Circle,0.25,37,13,1,7
2,Rand,Square,0.5,26,22,0,13
2,Rand,Square,0.5,33,7,0,8
2,Rand,Square,0.5,35,12,0,9
2,Rand,Square,0.5,41,6,0,7
2,Rand,Square,0.5,46,13,0,9
2,Rand,Square,0.5,37,29,1,8
2,Rand,Square,0.25,26,9,0,7
2,Rand,Square,0.25,33,3,0,10
2,Rand,Square,0.25,35,9,0,9
2,Rand,Square,0.25,41,3,0,7
2,Rand,Square,0.25,46,8,0,8
2,Rand,Square,0.25,37,13,1,8
2,Rand,Rectangle,0.25,26,9,0,7
2,Rand,Rectangle,0.25,33,3,0,8
2,Rand,Rectangle,0.25,35,9,0,9
2,Rand,Rectangle,0.25,41,1,0,7
2,Rand,Rectangle,0.25,46,11,0,9
2,Rand,Rectangle,0.25,37,8,0,7
2,Hap,Square,0.25,25,8,0,9
2,Hap,Square,0.25,31,0,3,7
2,Hap,Square,0.25,43,1,0,9
2,Hap,Square,0.25,47,9,0,9
2,Hap,Square,0.25,29,3,0,8
1,Rand,Square,0.25,28,4,1,8
1,Rand,Square,0.25,32,3,1,8
1,Rand,Square,0.25,34,13,0,6
1,Rand,Square,0.25,38,6,7,10
1,Rand,Square,0.25,44,5,3,7
1,Rand,Square,0.25,50,18,3,8
1,Rand,Square,0.5,28,10,1,9
1,Rand,Square,0.5,32,5,1,9
1,Rand,Square,0.5,34,22,2,6
1,Rand,Square,0.5,38,22,7,10
1,Rand,Square,0.5,44,5,2,8
1,Rand,Square,0.5,50,30,5,9
1,Rand,Rectangle,0.25,28,4,1,8
1,Rand,Rectangle,0.25,32,2,0,8
1,Rand,Rectangle,0.25,34,16,1,7
1,Rand,Rectangle,0.25,38,4,1,10
1,Rand,Rectangle,0.25,44,2,2,7
1,Rand,Rectangle,0.25,50,10,3,9
1,Rand,Circle,0.25,28,5,1,8
1,Rand,Circle,0.25,32,4,1,8
1,Rand,Circle,0.25,34,15,0,6
1,Rand,Circle,0.25,38,7,7,10
1,Rand,Circle,0.25,44,4,3,8
1,Rand,Circle,0.25,50,18,2,8
1,Hap,Square,0.25,47.5,6,1,8
1,Hap,Square,0.25,45.3,16,2,9
1,Hap,Square,0.25,36.71,18,2,8
1,Hap,Square,0.25,31,1,2,6
1,Hap,Square,0.25,26.93,7,2,8
1,Rand,Square,0.5,0,0,7,7
1,Rand,Square,0.5,8,0,8,7
1,Rand,Square,0.5,11,2,0,8
1,Rand,Square,0.5,18,18,2,8
1,Rand,Square,0.5,24,8,3,10
1,Rand,Square,0.5,4,1,4,8
1,Rand,Rectangle,0.25,0,0,3,7
1,Rand,Rectangle,0.25,8,0,2,7
1,Rand,Rectangle,0.25,11,1,0,7
1,Rand,Rectangle,0.25,18,13,4,8
1,Rand,Rectangle,0.25,24,2,0,7
1,Rand,Rectangle,0.25,4,0,3,7
1,Rand,Square,0.25,0,0,2,5
1,Rand,Square,0.25,8,0,3,7
1,Rand,Square,0.25,11,1,0,6
1,Rand,Square,0.25,18,9,2,7
1,Rand,Square,0.25,24,4,0,7
1,Rand,Square,0.25,4,1,4,8
1,Rand,Circle,0.25,0,0,3,6
1,Rand,Circle,0.25,8,0,3,7
1,Rand,Circle,0.25,11,2,0,6
1,Rand,Circle,0.25,18,9,2,7
1,Rand,Circle,0.25,24,3,0,7
1,Rand,Circle,0.25,4,1,3,8
1,Hap,Square,0.25,2.5,0,1,7
1,Hap,Square,0.25,11.8,0,1,8
1,Hap,Square,0.25,16,12,1,6
1,Hap,Square,0.25,19.3,0,0,4
1,Hap,Square,0.25,22.75,7,1,8
2,Hap,Square,0.25,6,0,0,6
2,Hap,Square,0.25,10,0,0,3
2,Hap,Square,0.25,14,6,0,4
2,Hap,Square,0.25,16,2,0,5
2,Hap,Square,0.25,21,0,0,7
2,Rand,Square,0.25,1,0,0,6
2,Rand,Square,0.25,8,0,1,7
2,Rand,Square,0.25,13,0,1,8
2,Rand,Square,0.25,16,0,0,7
2,Rand,Square,0.25,20,1,0,7
2,Rand,Square,0.25,6,2,0,10
2,Rand,Square,0.5,8,0,0,7
2,Rand,Square,0.5,1,0,5,6
2,Rand,Square,0.5,13,1,1,8
2,Rand,Square,0.5,16,1,0,10
2,Rand,Square,0.5,20,1,1,9
2,Rand,Square,0.5,6,1,0,10
2,Rand,Circle,0.25,8,0,1,6
2,Rand,Circle,0.25,1,0,0,5
2,Rand,Circle,0.25,13,0,1,9
2,Rand,Circle,0.25,16,0,0,8
2,Rand,Circle,0.25,20,0,0,7
2,Rand,Circle,0.25,6,2,0,10
2,Rand,Rectangle,0.25,8,0,1,6
2,Rand,Rectangle,0.25,1,0,0,6
2,Rand,Rectangle,0.25,13,1,1,10
2,Rand,Rectangle,0.25,16,0,1,8
2,Rand,Rectangle,0.25,20,1,0,7
2,Rand,Rectangle,0.25,6,3,0,10
